match_id,weather_condition,temperature,travel_distance_km,social_sentiment_home,social_sentiment_away,betting_odds_home,referee_strictness,fatigue_diff
M0001,Rain,20.6,6290,0.83,-0.14,2.79,8.0,1.2
M0002,Sunny,21.0,1356,0.75,-0.28,1.76,7.1,-1.5
M0003,Hot,29.7,3476,-0.15,0.1,3.26,6.8,-4.3
M0004,Hot,27.7,5745,-0.17,0.38,3.35,6.9,21.8
M0005,Sunny,20.4,5362,0.21,0.15,1.72,7.1,17.4
M0006,Cloudy,20.2,3586,0.69,0.2,2.13,6.9,23.4
M0007,Cloudy,28.8,3684,0.89,0.74,3.13,7.0,-14.4
M0008,Sunny,20.0,1496,-0.03,0.1,3.02,7.2,12.9
M0009,Sunny,30.5,3737,0.45,0.29,1.95,6.9,22.2
M0010,Hot,28.9,3430,0.22,0.6,2.0,8.7,-11.8
M0011,Cloudy,20.1,2803,0.87,0.16,2.3,6.7,-17.0
M0012,Sunny,20.2,570,0.73,0.42,2.52,7.8,13.4
M0013,Hot,32.8,5231,0.72,0.69,2.77,7.5,5.9
M0014,Cloudy,24.2,1453,0.32,0.79,2.3,9.0,17.9
M0015,Rain,24.2,2883,0.26,-0.13,2.48,6.8,-13.7
M0016,Hot,30.4,2931,0.1,0.77,3.02,7.5,15.8
M0017,Cloudy,32.3,5163,-0.14,0.27,1.67,8.9,-10.9
M0018,Cloudy,32.8,457,0.75,-0.0,2.08,8.7,-12.6
M0019,Hot,29.5,3119,0.69,0.23,2.96,8.5,-12.6
M0020,Rain,24.3,767,0.9,0.83,3.3,7.1,16.7
M0021,Hot,20.2,4568,0.9,0.27,2.57,6.9,9.9
M0022,Cloudy,29.9,5227,0.41,0.08,2.61,8.2,3.5
M0023,Sunny,26.8,1245,0.65,0.43,1.8,8.8,-3.9
M0024,Sunny,24.9,5567,0.84,-0.02,2.45,7.9,19.5
M0025,Hot,31.7,4285,0.73,-0.21,2.61,7.9,-2.3
M0026,Cloudy,20.6,3819,0.07,-0.15,2.06,7.2,16.7
M0027,Sunny,25.9,2845,0.3,-0.15,2.11,8.4,-0.2
M0028,Cloudy,19.2,639,-0.06,-0.13,2.32,7.0,-3.0
M0029,Hot,25.6,2879,0.85,-0.14,1.64,7.3,0.8
M0030,Sunny,19.8,5064,0.47,0.44,2.21,7.6,-6.4
M0031,Cloudy,20.7,4236,0.05,-0.09,2.0,7.8,13.6
M0032,Sunny,20.6,4935,0.54,0.1,2.22,7.1,2.6
M0033,Hot,28.1,3875,0.48,0.73,1.83,6.8,-9.6
M0034,Cloudy,29.4,6142,0.19,0.25,3.29,8.0,20.5
M0035,Sunny,27.2,5420,-0.08,0.47,2.73,7.2,-2.7
M0036,Hot,32.5,5124,0.54,-0.1,2.89,8.0,4.5
M0037,Sunny,24.2,6232,0.37,-0.08,3.1,6.9,20.8
M0038,Sunny,23.0,2608,0.65,-0.25,2.55,7.7,8.1
M0039,Rain,31.2,2879,0.37,-0.11,1.77,7.8,-14.7
M0040,Rain,22.1,1024,0.74,0.02,2.62,6.6,22.3
M0041,Hot,32.5,3056,0.41,-0.1,2.71,7.3,8.2
M0042,Rain,19.2,1681,0.42,-0.2,3.02,6.8,-4.9
M0043,Hot,32.6,3424,0.76,-0.16,2.42,6.7,-13.7
M0044,Rain,19.6,4585,0.24,0.23,1.84,9.0,15.7
M0045,Sunny,31.5,5813,-0.05,-0.06,2.14,7.3,7.9
M0046,Hot,26.4,355,-0.17,0.12,2.29,8.5,4.0
M0047,Hot,32.9,4904,0.63,0.28,2.83,7.1,20.2
M0048,Sunny,20.0,1938,0.48,0.49,2.68,8.2,15.5
M0049,Hot,26.8,2044,0.57,-0.25,2.28,8.4,-13.2
M0050,Hot,32.6,109,0.03,0.62,3.47,8.0,-6.0
