match_id,date,team_home,team_away,venue_id,group_stage,predicted_win_prob_home,goals_home,goals_away,xG_home,xG_away,attendance
M0001,2026-06-11,T039,T028,V08,Knockout,0.531,0,4,1.28,1.07,66996
M0002,2026-06-12,T029,T047,V08,Group B,0.489,3,0,1.82,2.2,62122
M0003,2026-06-13,T015,T007,V03,Group B,0.398,3,3,1.02,1.76,69850
M0004,2026-06-14,T043,T044,V01,Group A,0.449,0,0,0.91,1.58,62350
M0005,2026-06-15,T008,T008,V08,Group B,0.447,1,4,1.84,1.79,62472
M0006,2026-06-16,T021,T047,V03,Group A,0.568,0,3,1.19,1.45,63761
M0007,2026-06-17,T039,T035,V03,Group A,0.572,3,4,1.01,1.9,60351
M0008,2026-06-18,T019,T014,V01,Group B,0.42,4,2,1.5,0.87,58132
M0009,2026-06-19,T023,T017,V05,Knockout,0.649,4,3,0.98,1.65,50305
M0010,2026-06-20,T011,T036,V10,Knockout,0.452,2,2,2.23,1.04,44817
M0011,2026-06-21,T011,T040,V07,Knockout,0.644,0,0,0.94,0.98,46261
M0012,2026-06-22,T024,T004,V10,Knockout,0.491,0,0,1.77,1.31,35417
M0013,2026-06-23,T036,T002,V09,Knockout,0.389,2,3,1.56,0.94,76576
M0014,2026-06-24,T040,T006,V07,Group B,0.473,2,3,1.91,0.94,55358
M0015,2026-06-25,T024,T042,V09,Group B,0.551,2,4,1.39,1.27,38267
M0016,2026-06-26,T003,T004,V08,Group C,0.564,3,4,1.13,2.27,52209
M0017,2026-06-27,T022,T029,V02,Knockout,0.523,0,2,2.37,1.06,59052
M0018,2026-06-28,T002,T018,V01,Group B,0.501,3,3,2.16,0.83,73513
M0019,2026-06-29,T024,T026,V07,Group C,0.529,2,0,2.19,1.95,61092
M0020,2026-06-30,T044,T044,V07,Knockout,0.54,0,4,1.28,2.01,46338
M0021,2026-07-01,T030,T034,V08,Group A,0.402,3,4,0.96,1.32,35412
M0022,2026-07-02,T038,T010,V05,Group C,0.48,3,0,1.35,1.5,42543
M0023,2026-07-03,T002,T036,V03,Group B,0.445,2,4,1.71,1.77,75355
M0024,2026-07-04,T021,T014,V08,Group A,0.597,0,2,1.39,0.87,68496
M0025,2026-07-05,T033,T031,V06,Group A,0.507,2,3,2.14,2.22,58548
M0026,2026-07-06,T012,T048,V03,Group A,0.646,0,0,1.31,2.13,62384
M0027,2026-07-07,T022,T015,V01,Group C,0.488,4,3,2.35,1.19,79425
M0028,2026-07-08,T044,T008,V03,Group B,0.6,1,4,1.59,0.82,73756
M0029,2026-07-09,T025,T014,V05,Group A,0.596,1,4,2.16,2.2,53888
M0030,2026-07-10,T027,T023,V03,Knockout,0.421,1,0,1.19,1.55,70735
M0031,2026-07-11,T042,T040,V01,Group A,0.517,2,2,1.52,1.61,52506
M0032,2026-07-12,T028,T021,V05,Group A,0.568,4,1,1.95,1.83,55463
M0033,2026-07-13,T016,T016,V10,Group C,0.612,0,0,1.11,1.72,52955
M0034,2026-07-14,T015,T045,V07,Group C,0.468,3,1,1.1,2.22,72841
M0035,2026-07-15,T047,T018,V07,Group B,0.439,0,1,2.35,2.22,40104
M0036,2026-07-16,T044,T047,V09,Knockout,0.572,3,2,1.97,2.1,69911
M0037,2026-07-17,T003,T024,V10,Group C,0.599,0,1,0.96,1.75,58190
M0038,2026-07-18,T037,T026,V10,Group A,0.474,4,1,1.5,2.0,42357
M0039,2026-07-19,T007,T025,V03,Group B,0.406,3,2,1.55,1.82,67479
M0040,2026-07-20,T021,T045,V07,Group A,0.634,2,1,2.02,1.66,79811
M0041,2026-07-21,T009,T041,V01,Group A,0.487,0,1,1.28,0.99,71208
M0042,2026-07-22,T039,T029,V04,Group C,0.52,0,1,1.18,2.02,55150
M0043,2026-07-23,T018,T015,V04,Group B,0.606,3,0,1.02,2.03,40644
M0044,2026-07-24,T004,T045,V05,Knockout,0.562,2,0,1.54,1.74,78286
M0045,2026-07-25,T025,T001,V07,Knockout,0.579,2,0,1.93,2.03,37914
M0046,2026-07-26,T014,T025,V07,Group C,0.436,4,2,0.99,1.78,56352
M0047,2026-07-27,T009,T007,V04,Group C,0.526,2,4,2.27,1.11,79912
M0048,2026-07-28,T026,T009,V07,Group B,0.568,2,1,1.56,1.21,49397
M0049,2026-07-29,T002,T024,V03,Knockout,0.442,2,1,1.26,1.12,76555
M0050,2026-07-30,T020,T001,V06,Knockout,0.427,1,2,1.04,1.37,35728
M0001,2026-06-11,T039,T028,V08,Knockout,0.531,0,4,1.28,1.07,66996
M0002,2026-06-12,T029,T047,V08,Group B,0.489,3,0,1.82,2.2,62122
M0003,2026-06-13,T015,T007,V03,Group B,0.398,3,3,1.02,1.76,69850
M0004,2026-06-14,T043,T044,V01,Group A,0.449,0,0,0.91,1.58,62350
M0005,2026-06-15,T008,T008,V08,Group B,0.447,1,4,1.84,1.79,62472
M0006,2026-06-16,T021,T047,V03,Group A,0.568,0,3,1.19,1.45,63761
M0007,2026-06-17,T039,T035,V03,Group A,0.572,3,4,1.01,1.9,60351
M0008,2026-06-18,T019,T014,V01,Group B,0.42,4,2,1.5,0.87,58132
M0009,2026-06-19,T023,T017,V05,Knockout,0.649,4,3,0.98,1.65,50305
M0010,2026-06-20,T011,T036,V10,Knockout,0.452,2,2,2.23,1.04,44817
M0011,2026-06-21,T011,T040,V07,Knockout,0.644,0,0,0.94,0.98,46261
M0012,2026-06-22,T024,T004,V10,Knockout,0.491,0,0,1.77,1.31,35417
M0013,2026-06-23,T036,T002,V09,Knockout,0.389,2,3,1.56,0.94,76576
M0014,2026-06-24,T040,T006,V07,Group B,0.473,2,3,1.91,0.94,55358
M0015,2026-06-25,T024,T042,V09,Group B,0.551,2,4,1.39,1.27,38267
M0016,2026-06-26,T003,T004,V08,Group C,0.564,3,4,1.13,2.27,52209
M0017,2026-06-27,T022,T029,V02,Knockout,0.523,0,2,2.37,1.06,59052
M0018,2026-06-28,T002,T018,V01,Group B,0.501,3,3,2.16,0.83,73513
M0019,2026-06-29,T024,T026,V07,Group C,0.529,2,0,2.19,1.95,61092
M0020,2026-06-30,T044,T044,V07,Knockout,0.54,0,4,1.28,2.01,46338
M0021,2026-07-01,T030,T034,V08,Group A,0.402,3,4,0.96,1.32,35412
M0022,2026-07-02,T038,T010,V05,Group C,0.48,3,0,1.35,1.5,42543
M0023,2026-07-03,T002,T036,V03,Group B,0.445,2,4,1.71,1.77,75355
