team_id,team_name,fifa_rank,elo_rating,confederation,squad_size,avg_age,market_value_million,recent_form,goals_scored_last_12m,goals_conceded_last_12m,head_coach
T001,Brazil,52,1566,UEFA,24,25.4,246,WDWLW,68,38,Scaloni
T002,Argentina,93,1673,CONMEBOL,24,27.2,963,LWDWW,65,27,Scaloni
T003,France,15,1787,AFC,25,24.0,588,LWDWW,72,21,Flick
T004,England,72,2000,AFC,24,25.8,1028,WWDLW,50,50,Scaloni
T005,Germany,61,1715,AFC,22,25.5,650,LWDWW,54,59,Flick
T006,Spain,21,1413,CAF,25,24.8,437,WWDLW,79,34,Tite
T007,USA,83,1641,CONMEBOL,22,26.7,971,WWDLW,52,15,Southgate
T008,Mexico,87,2176,CAF,25,26.4,740,WWDLW,71,22,Flick
T009,Canada,75,1745,CAF,25,27.5,572,WWDLW,40,30,Tite
T010,Portugal,75,1964,CONMEBOL,23,25.3,250,WWDLW,51,28,Scaloni
T011,Netherlands,88,1739,CONMEBOL,22,25.2,362,WDLWW,42,26,Scaloni
T012,Italy,24,1491,CONMEBOL,24,24.8,243,LWDWW,52,37,Tite
T013,Uruguay,3,1766,CONMEBOL,24,25.1,445,WWDLW,22,29,Scaloni
T014,Colombia,22,1854,AFC,22,26.8,723,WDWLW,37,42,Tite
T015,Japan,53,1827,CONCACAF,24,26.0,1116,LWDWW,44,48,Flick
T016,South Korea,2,1908,CONCACAF,24,24.3,980,LWDWW,61,16,Flick
T017,Team_17,88,2175,CONMEBOL,22,25.3,101,WWDLW,50,46,Tite
T018,Team_18,30,1434,CONCACAF,25,25.2,996,WDLWW,73,37,Flick
T019,Team_19,38,1605,CONCACAF,22,27.5,353,WWDLW,77,36,Flick
T020,Team_20,2,1480,CONMEBOL,25,27.6,552,WDLWW,22,39,Flick
T021,Team_21,64,1961,CONCACAF,24,24.7,1160,WDWLW,59,36,Deschamps
T022,Team_22,60,1787,CAF,24,29.0,1114,LWDWW,65,36,Southgate
T023,Team_23,21,1401,UEFA,24,25.3,108,WDWLW,43,56,Scaloni
T024,Team_24,33,1789,UEFA,23,28.9,915,WDLWW,69,20,Deschamps
T025,Team_25,76,1965,CONMEBOL,25,26.1,307,WDLWW,51,29,Flick
T026,Team_26,58,1505,AFC,23,24.2,503,WDWLW,66,57,Tite
T027,Team_27,22,2171,CONMEBOL,23,25.7,251,WDLWW,41,51,Flick
T028,Team_28,89,1876,AFC,22,27.2,153,WDWLW,42,47,Southgate
T029,Team_29,49,2102,UEFA,23,27.4,727,LWDWW,21,22,Flick
T030,Team_30,91,1801,CONMEBOL,22,26.7,686,WDWLW,46,58,Tite
T031,Team_31,59,2129,CAF,22,26.2,203,LWDWW,61,58,Southgate
T032,Team_32,42,1955,CONCACAF,23,26.8,353,WDWLW,21,19,Flick
T033,Team_33,92,1561,AFC,25,27.0,609,WDLWW,45,53,Southgate
T034,Team_34,60,1601,CONCACAF,25,24.4,198,WDWLW,36,18,Scaloni
T035,Team_35,80,1669,CONCACAF,25,25.8,252,WDLWW,59,20,Scaloni
T036,Team_36,15,1670,CONMEBOL,25,25.2,1013,WDWLW,52,59,Flick
T037,Team_37,62,1855,CONCACAF,25,28.0,977,WDWLW,28,46,Southgate
T038,Team_38,62,1861,CAF,23,26.4,437,WWDLW,62,44,Tite
T039,Team_39,47,2126,CONCACAF,23,28.9,921,WDLWW,73,49,Flick
T040,Team_40,62,1651,CONMEBOL,24,26.0,1056,WWDLW,67,54,Scaloni
T041,Team_41,51,2101,CAF,25,28.1,260,WDLWW,58,30,Scaloni
T042,Team_42,55,1695,UEFA,23,28.0,900,WWDLW,48,27,Flick
T043,Team_43,64,2124,CONCACAF,24,24.8,497,LWDWW,61,56,Southgate
T044,Team_44,3,2119,CONMEBOL,25,26.5,915,WDWLW,74,44,Scaloni
T045,Team_45,51,2148,UEFA,22,27.5,500,WDLWW,45,33,Southgate
T046,Team_46,7,1737,UEFA,24,28.3,739,WDLWW,54,31,Scaloni
T047,Team_47,21,1452,AFC,23,25.6,1156,WDWLW,69,33,Scaloni
T048,Team_48,73,2191,CAF,22,25.1,787,WDLWW,44,42,Deschamps
